NAME,Numberofcases,UpdatedDate,COUNTY,STATE
Cheswick Borough,0,3/28/2020,Allegheny,Pennsylvania
Edgeworth Borough,2,3/28/2020,Allegheny,Pennsylvania
Sewickley Borough,2,3/28/2020,Allegheny,Pennsylvania
Sewickley Heights Borough,1,3/28/2020,Allegheny,Pennsylvania
Harmar Township,0,3/28/2020,Allegheny,Pennsylvania
Fox Chapel Borough,3,3/28/2020,Allegheny,Pennsylvania
Franklin Park Borough,5,3/28/2020,Allegheny,Pennsylvania
Bell Acres Borough,0,3/28/2020,Allegheny,Pennsylvania
Leet Township,0,3/28/2020,Allegheny,Pennsylvania
Leetsdale Borough,0,3/28/2020,Allegheny,Pennsylvania
Sewickley Hills Borough,0,3/28/2020,Allegheny,Pennsylvania
Ohio Township,1,3/28/2020,Allegheny,Pennsylvania
Richland Township,1,3/28/2020,Allegheny,Pennsylvania
McCandless Township,10,3/28/2020,Allegheny,Pennsylvania
Haysville Borough,0,3/28/2020,Allegheny,Pennsylvania
Frazer Township,1,3/28/2020,Allegheny,Pennsylvania
Fawn Township,0,3/28/2020,Allegheny,Pennsylvania
Harrison Township,1,3/28/2020,Allegheny,Pennsylvania
Tarentum Borough,0,3/28/2020,Allegheny,Pennsylvania
Glen Osborne Borough,0,3/28/2020,Allegheny,Pennsylvania
Emsworth Borough,0,3/28/2020,Allegheny,Pennsylvania
Glenfield Borough,0,3/28/2020,Allegheny,Pennsylvania
Avalon Borough,0,3/28/2020,Allegheny,Pennsylvania
Millvale Borough,0,3/28/2020,Allegheny,Pennsylvania
Neville Township,0,3/28/2020,Allegheny,Pennsylvania
Ben Avon Borough,0,3/28/2020,Allegheny,Pennsylvania
Ben Avon Heights Borough,0,3/28/2020,Allegheny,Pennsylvania
Reserve Township,0,3/28/2020,Allegheny,Pennsylvania
Shaler Township,4,3/28/2020,Allegheny,Pennsylvania
East Deer Township,0,3/28/2020,Allegheny,Pennsylvania
Wilkinsburg Borough,3,3/28/2020,Allegheny,Pennsylvania
Plum Borough,1,3/28/2020,Allegheny,Pennsylvania
Braddock Hills Borough,2,3/28/2020,Allegheny,Pennsylvania
Rankin Borough,0,3/28/2020,Allegheny,Pennsylvania
Swissvale Borough,1,3/28/2020,Allegheny,Pennsylvania
Edgewood Borough,0,3/28/2020,Allegheny,Pennsylvania
West View Borough,0,3/28/2020,Allegheny,Pennsylvania
Churchill Borough,2,3/28/2020,Allegheny,Pennsylvania
