LABEL,Numberofcases,UpdatedDate
Cheswick Borough,0,2020-03-29
Edgeworth Borough,2,2020-03-29
Sewickley Borough,2,2020-03-29
Sewickley Heights Borough,1,2020-03-29
Harmar Township,0,2020-03-29
Fox Chapel Borough,3,2020-03-29
Franklin Park Borough,5,2020-03-29
Bell Acres Borough,0,2020-03-29
Leet Township,0,2020-03-29
Leetsdale Borough,0,2020-03-29
Sewickley Hills Borough,0,2020-03-29
Ohio Township,1,2020-03-29
Richland Township,1,2020-03-29
McCandless Township,10,2020-03-29
Haysville Borough,0,2020-03-29
Frazer Township,1,2020-03-29
Fawn Township,0,2020-03-29
Harrison Township,1,2020-03-29
Tarentum Borough,0,2020-03-29
Glen Osborne Borough,0,2020-03-29
Emsworth Borough,0,2020-03-29
Glenfield Borough,0,2020-03-29
Avalon Borough,0,2020-03-29
Millvale Borough,0,2020-03-29
Neville Township,0,2020-03-29
Ben Avon Borough,0,2020-03-29
Ben Avon Heights Borough,0,2020-03-29
Reserve Township,0,2020-03-29
Shaler Township,4,2020-03-29
East Deer Township,0,2020-03-29
Wilkinsburg Borough,3,2020-03-29
Plum Borough,1,2020-03-29
Braddock Hills Borough,2,2020-03-29
Rankin Borough,0,2020-03-29
Swissvale Borough,1,2020-03-29
Edgewood Borough,0,2020-03-29
West View Borough,0,2020-03-29
Churchill Borough,2,2020-03-29
Monroeville Municipality,3,2020-03-29
Chalfant Borough,0,2020-03-29
Ross Township,5,2020-03-29
Brackenridge Borough,1,2020-03-29
Springdale Township,0,2020-03-29
Heidelberg Borough,0,2020-03-29
Etna Borough,0,2020-03-29
Verona Borough,0,2020-03-29
Pennsbury Village Borough,0,2020-03-29
Clairton,0,2020-03-29
Springdale Borough,0,2020-03-29
Oakmont Borough,1,2020-03-29
Blawnox Borough,0,2020-03-29
Pleasant Hills Borough,0,2020-03-29
Sharpsburg Borough,0,2020-03-29
Wilkins Township,1,2020-03-29
Turtle Creek Borough,0,2020-03-29
Braddock Borough,2,2020-03-29
East Pittsburgh Borough,0,2020-03-29
North Braddock Borough,0,2020-03-29
Wilmerding Borough,0,2020-03-29
Wall Borough,0,2020-03-29
Versailles Borough,0,2020-03-29
Dravosburg Borough,0,2020-03-29
McKeesport,1,2020-03-29
Port Vue Borough,0,2020-03-29
Glassport Borough,2,2020-03-29
Duquesne,0,2020-03-29
Liberty Borough,0,2020-03-29
Lincoln Borough,0,2020-03-29
Elizabeth Township,0,2020-03-29
Elizabeth Borough,1,2020-03-29
West Elizabeth Borough,0,2020-03-29
South Park Township,1,2020-03-29
West Mifflin Borough,3,2020-03-29
Mount Oliver Borough,0,2020-03-29
Whitaker Borough,0,2020-03-29
Homestead Borough,0,2020-03-29
Munhall Borough,0,2020-03-29
West Homestead Borough,0,2020-03-29
Green Tree Borough,0,2020-03-29
Dormont Borough,1,2020-03-29
Baldwin Township,0,2020-03-29
Brentwood Borough,1,2020-03-29
Baldwin Borough,4,2020-03-29
Whitehall Borough,0,2020-03-29
Mount Lebanon,6,2020-03-29
Castle Shannon Borough,1,2020-03-29
Kennedy Township,1,2020-03-29
Bridgeville Borough,0,2020-03-29
Upper St. Clair Municipality,2,2020-03-29
Ingram Borough,0,2020-03-29
Stowe Township,1,2020-03-29
McKees Rocks Borough,0,2020-03-29
Thornburg Borough,0,2020-03-29
Crafton Borough,0,2020-03-29
Rosslyn Farms Borough,0,2020-03-29
Scott Township,5,2020-03-29
Carnegie Borough,2,2020-03-29
Crescent Township,1,2020-03-29
Moon Township,1,2020-03-29
Coraopolis Borough,2,2020-03-29
Robinson Township,4,2020-03-29
Oakdale Borough,0,2020-03-29
McDonald Borough,0,2020-03-29
South Fayette Township,4,2020-03-29
North Fayette Township,1,2020-03-29
Findlay Township,0,2020-03-29
Forward Township,0,2020-03-29
South Versailles Township,0,2020-03-29
White Oak Borough,0,2020-03-29
North Versailles Township,2,2020-03-29
Pine Township,4,2020-03-29
Marshall Township,4,2020-03-29
Bradford Woods Borough,0,2020-03-29
Aleppo Township,0,2020-03-29
Collier Township,1,2020-03-29
Hampton Township,4,2020-03-29
Pitcairn Borough,0,2020-03-29
Indiana Township,4,2020-03-29
O Hara Township,0,2020-03-29
Aspinwall Borough,0,2020-03-29
West Deer Township,6,2020-03-29
Jefferson Hills Borough,1,2020-03-29
Bellevue Borough,2,2020-03-29
Bethel Park Municipality,2,2020-03-29
Trafford Borough,0,2020-03-29
Kilbuck Township,0,2020-03-29
East McKeesport Borough,0,2020-03-29
Pittsburgh,79,2020-03-29
Penn Hills Municipality,3,2020-03-29
Forest Hills Borough,1,2020-03-29
